row_id,id,cluster_id
419,206097,1
420,206098,1
421,206099,1
422,206100,1
423,206101,1
424,206102,2
425,206103,2
426,206111,22
427,206114,23
428,206116,24
429,206117,24
430,206118,25
431,207102,24
432,207104,25
433,208088,24
434,208090,25
435,209038,20
436,209039,20
437,209040,20
438,209041,21
439,209042,21
440,209043,21
441,209055,1
442,209056,1
443,209057,1
444,209058,1
445,209059,1
446,209060,2
447,209061,2
448,209069,22
449,209072,23
450,209074,24
451,209075,24
452,209076,25
453,210024,20
454,210025,20
455,210026,20
456,210027,21
457,210028,21
458,210029,21
459,210041,1
460,210042,1
461,210043,1
462,210044,1
463,210045,1
464,210046,2
465,210047,2
466,210055,22
467,210058,23
468,210060,24
469,210061,24
470,210062,25
471,211046,24
472,211048,25
473,211996,20
474,211997,20
475,211998,20
476,211999,21
477,212000,21
478,212001,21
479,212013,1
480,212014,1
481,212015,1
482,212016,1
483,212017,1
484,212018,2
485,212019,2
486,212027,22
487,212030,23
488,212032,24
489,212033,24
490,212034,25
491,213018,24
492,213020,25
493,213968,20
494,213969,20
495,213970,20
496,213971,21
497,213972,21
498,213973,21
499,213985,1
500,213986,1
501,213987,1
502,213988,1
503,213989,1
504,213990,2
505,213991,2
506,213999,22
507,214002,23
508,214004,24
509,214005,24
510,214006,25
511,214954,20
512,214955,20
513,214956,20
514,214957,21
515,214958,21
516,214959,21
517,214971,1
518,214972,1
519,214973,1
520,214974,1
521,214975,1
522,214976,2
523,214977,2
524,214985,22
525,214988,23
526,214990,24
527,214991,24
528,214992,25
529,215940,20
530,215941,20
531,215942,20
532,215943,21
533,215944,21
534,215945,21
535,215957,1
536,215958,1
537,215959,1
538,215960,1
539,215961,1
540,215962,2
541,215963,2
542,215971,22
543,215974,23
544,215976,24
545,215977,24
546,215978,25
547,216962,24
548,216964,25
549,217912,20
550,217913,20
551,217914,20
552,217915,21
553,217916,21
554,217917,21
555,217943,22
556,217946,23
557,217948,24
558,217949,24
559,217950,25
560,218915,1
561,218916,1
562,218917,1
563,218918,1
564,218919,1
565,218920,2
566,218921,2
567,218934,24
568,218936,25
569,219884,20
570,219885,20
571,219886,20
572,219887,21
573,219888,21
574,219889,21
575,219901,1
576,219902,1
577,219903,1
578,219904,1
579,219905,1
580,219906,2
581,219907,2
582,219915,22
583,219918,23
584,219920,24
585,219921,24
586,219922,25
587,220906,24
588,220908,25
589,221892,24
590,221894,25
591,222842,20
592,222843,20
593,222844,20
594,222845,21
595,222846,21
596,222847,21
597,222859,1
598,222860,1
599,222861,1
600,222862,1
601,222863,1
602,222864,2
603,222865,2
604,222873,22
605,222876,23
606,222878,24
607,222879,24
608,222880,25
609,223828,20
610,223829,20
611,223830,20
612,223831,21
613,223832,21
614,223833,21
615,223859,22
616,223862,23
617,223864,24
618,223865,24
